ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
251275,200402,405,29290.0
251276,200402,421,30445.0
251278,200402,130,10125.0
251280,200402,701,52765.0
251290,200402,679,38880.0
251300,200402,368,27040.0
251310,200402,1035,72545.0
251315,200402,644,50025.0
251320,200402,325,22975.0
251330,200402,312,22115.0
251335,200402,336,26580.0
251340,200402,1086,78660.0
251350,200402,668,48035.0
251360,200402,710,50680.0
251365,200402,337,23360.0
251370,200402,4381,320380.0
251380,200402,427,33335.0
251385,200402,264,19460.0
251390,200402,1776,130455.0
251392,200402,242,16190.0
251394,200402,184,14135.0
251396,200402,190,14240.0
251398,200402,515,34575.0
251400,200402,383,27495.0
251410,200402,432,30660.0
251420,200402,455,33655.0
251430,200402,437,34765.0
251440,200402,378,27800.0
251445,200402,166,13290.0
251450,200402,1459,108760.0
251455,200402,391,30185.0
251460,200402,495,34095.0
251465,200402,154,9915.0
251470,200402,354,22925.0
251480,200402,146,11275.0
251490,200402,690,46695.0
251500,200402,162,12865.0
251510,200402,790,58560.0
251520,200402,353,25955.0
251530,200402,1276,100600.0
251540,200402,896,70055.0
251550,200402,945,68850.0
251560,200402,404,29520.0
251570,200402,272,20090.0
251580,200402,695,52110.0
251590,200402,566,43355.0
251593,200402,382,26280.0
251597,200402,519,40325.0
251600,200402,2943,211690.0
251610,200402,1333,94860.0
251615,200402,271,20625.0
251620,200402,4128,279175.0
251630,200402,1181,87545.0
251640,200402,886,60735.0
251650,200402,1353,101310.0
251660,200402,1202,93635.0
251670,200402,547,43465.0
251675,200402,123,9670.0
251680,200402,693,49180.0
251690,200402,967,69725.0
251700,200402,537,42140.0
251710,200402,206,13685.0
251720,200402,218,17020.0
251740,200402,104,8230.0
250010,200403,585,48310.0
250020,200403,702,49360.0
250030,200403,2403,185515.0
250040,200403,1342,102530.0
250050,200403,1153,89105.0
250053,200403,406,31625.0
250057,200403,147,11170.0
250060,200403,142,11745.0
250070,200403,1281,82940.0
250073,200403,216,15330.0
250077,200403,416,29375.0
250080,200403,977,75785.0
250090,200403,1190,85470.0
250100,200403,1134,94525.0
250110,200403,1231,84445.0
250115,200403,266,19960.0
250120,200403,412,30975.0
250130,200403,686,56010.0
250135,200403,111,9215.0
250140,200403,70,5430.0
250150,200403,1125,92835.0
250153,200403,314,22330.0
250157,200403,642,48780.0
250160,200403,1465,110795.0
250170,200403,396,28555.0
250180,200403,457,34910.0
250190,200403,537,39435.0
250200,200403,257,19445.0
250205,200403,204,15410.0
250210,200403,578,42130.0
250215,200403,273,21665.0
250220,200403,216,15725.0
250230,200403,426,30875.0
250240,200403,675,50160.0
250250,200403,1055,80480.0
250260,200403,787,55545.0
250270,200403,315,25210.0
250280,200403,830,60220.0
250290,200403,819,58710.0
250300,200403,389,32990.0
250310,200403,344,27385.0
250320,200403,739,56030.0
250330,200403,565,42795.0
250340,200403,276,19880.0
250350,200403,1136,90750.0
250355,200403,793,61255.0
250360,200403,616,46445.0
250370,200403,3036,217465.0
250375,200403,315,22590.0
250380,200403,76,5675.0
250390,200403,622,44910.0
250400,200403,10511,796885.0
250403,200403,115,9085.0
250407,200403,308,23040.0
250410,200403,153,11930.0
250415,200403,731,53620.0
250420,200403,313,23830.0
250430,200403,1728,131245.0
250435,200403,432,32040.0
250440,200403,1079,74645.0
250450,200403,494,38615.0
250460,200403,498,38480.0
250470,200403,532,38925.0
250480,200403,790,54545.0
250485,200403,138,9495.0
250490,200403,1127,85810.0
250500,200403,277,21065.0
250510,200403,1921,138720.0
250520,200403,447,34140.0
250523,200403,129,9200.0
250527,200403,350,27505.0
250530,200403,261,19765.0
250535,200403,469,35435.0
250540,200403,695,53445.0
250550,200403,369,25955.0
250560,200403,643,49935.0
250570,200403,849,67350.0
250580,200403,461,33725.0
